row_id,source_dataset,npdes_id,registry_id,facility_name,city,state,county,permit_status,permit_type,facility_type,total_design_flow,actual_average_flow,current_snc_status,current_violation,inspections,pct_low_income_3mi,pct_people_of_color,population_density,tribal_spatial_flag,derived_tribes,latitude,longitude,has_tribal_context,has_current_violation
1,EPA ECHO CWA/NPDES facility locations,AKG370A54,110063602409,KUZMIN GEORGE CREEK MINE SITE,CHICKEN,AK,Unknown county,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,100,100,0.04,NA,NA,64.12344000003598,-141.53957000000997,FALSE,FALSE
2,EPA ECHO CWA/NPDES facility locations,AKG370A97,110064414307,FRENCH MT. MUD CREEK MINE SITE,KOTZEBUE,AK,Unknown county,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,66.66999999999999,100,0.16,N,"Native Village of Deering - 23 mile(s), Native Village of Buckland - 25 mile(s)",65.94105600016351,-161.97805599996096,TRUE,FALSE
3,EPA ECHO CWA/NPDES facility locations,AKR05CA38,110064603362,BAKER HUGHES OILFIELD OPERATIONS INC - BAKER OIL TOOKS KENAI,NIKISKI,AK,Unknown county,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,39.93,25.74,51.78,N,"Salamatof Tribe - 11 mile(s), Kenaitze Indian Tribe - 13 mile(s), Native Village of Tyonek - 24 mile(s)",60.732499999926105,-151.30111100021102,TRUE,FALSE
4,EPA ECHO CWA/NPDES facility locations,AKR06GB94,110025226217,"DELTA WESTERN, LLC HAINES I BULK FACILITY",HAINES,AK,Haines,Expired,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,1,23.01,24.650000000000002,67.92,N,"Chilkoot Indian Association (Haines) - 1 mile(s), Skagway Village - 17 mile(s), Chilkat Indian Village (Klukwan) - 19 mile(s)",59.23572700012541,-135.46385599987994,TRUE,FALSE
5,EPA ECHO CWA/NPDES facility locations,AK0025666,110010112341,"PORT LIONS, CITY OF",PORT LIONS,AK,Kodiak Island,Terminated,NPDES Individual Permit,POTW,NA,NA,NA,NA,0,33.33,66.66999999999999,0.27,N,"Native Village of Port Lions - 1 mile(s), Native Village of Afognak - 12 mile(s), Native Village of Ouzinkie - 15 mile(s), Tangirnaq Native Village - 16 mile(s), Sun'aq Tribe of Kodiak - 19 mile(s)",57.866132999929015,-152.88694999967103,TRUE,FALSE
6,EPA ECHO CWA/NPDES facility locations,AKG130009,110070249504,SSRAA WHITMAN LAKE AQUACULTURE FACILITY,KETCHIKAN,AK,Ketchikan Gateway,Admin Continued,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,1,11.09,29,109.41000000000001,N,"Organized Village of Saxman - 3 mile(s), Metlakatla Indian Community, Annette Island Reserve - 3 mile(s), Ketchikan Indian Community - 5 mile(s)",55.3279269997907,-131.529597000139,TRUE,FALSE
7,EPA ECHO CWA/NPDES facility locations,AKG370B27,110064415734,KOPPENBERG DOME CREEK MINE SITE,FAIRBANKS,AK,Unknown county,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,25.71,44.78,1093.1899999999998,NA,NA,64.84702000009351,-147.75849000015302,FALSE,FALSE
8,EPA ECHO CWA/NPDES facility locations,AKG375287,110012758738,JACK R JONES / STEESE HIGHWAY LIST,UNKNOWN,AK,Fairbanks North Star,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,31.99,18.75,19.330000000000002,N,"Knik Tribe - 10 mile(s), Eklutna Native Village - 21 mile(s)",61.554799999873495,-149.939300000001,TRUE,FALSE
9,EPA ECHO CWA/NPDES facility locations,AKR10B754,110020059844,DAVIS CONSTRUCTORS AND ENGINEERS INC - CENTERPOINT SUB PHASE II,ANCHORAGE,AK,Anchorage Municipality,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,24.12,47.949999999999996,3709.3500000000004,N,Knik Tribe - 20 mile(s),61.188070000005105,-149.890610000061,TRUE,FALSE
10,EPA ECHO CWA/NPDES facility locations,AKR06AD05,110070518772,WARBELOW'S AIR VENTURES INC,FAIRBANKS,AK,Fairbanks North Star,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,21.9,47.730000000000004,620.81,NA,NA,64.8128200000411,-147.84356000031596,FALSE,FALSE
11,EPA ECHO CWA/NPDES facility locations,AKU000154,110015735702,CONSTRUCTION SITE,PALMER,AK,Matanuska-Susitna,Unknown status,Unpermitted Facility,NON-POTW,NA,NA,NA,NA,0,15.239999999999998,24.650000000000002,396.57,N,"Eklutna Native Village - 8 mile(s), Knik Tribe - 17 mile(s)",61.561269999918494,-149.286720000018,TRUE,FALSE
12,EPA ECHO CWA/NPDES facility locations,AKG370B50,110064414290,MISCOVICH CHATHAM CREEK MINE SITE,FAIRBANKS,AK,Unknown county,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,25.71,44.78,1093.1899999999998,NA,NA,64.84702000009351,-147.75849000015302,FALSE,FALSE
13,EPA ECHO CWA/NPDES facility locations,AKU000153,110015735695,COMMERCIAL SITE,WASILLA,AK,Matanuska-Susitna,Unknown status,Unpermitted Facility,NON-POTW,NA,NA,NA,NA,0,17.36,24.459999999999997,551.4399999999999,N,"Eklutna Native Village - 11 mile(s), Knik Tribe - 19 mile(s)",61.599443999848496,-149.24825000011498,TRUE,FALSE
14,EPA ECHO CWA/NPDES facility locations,AKR10B027,110009691324,ALASKA DOT AND PUBLIC FACILITIES,PALMER,AK,Matanuska-Susitna,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,19.56,25.18,324.58,N,"Eklutna Native Village - 14 mile(s), Knik Tribe - 22 mile(s)",61.6384299998602,-149.19316999969197,TRUE,FALSE
15,EPA ECHO CWA/NPDES facility locations,AKG370110,110028063814,DONALD STEIN / PEDRO CREEK,UNKNOWN,AK,Fairbanks North Star,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,40,20,0.53,NA,NA,65.0333329999439,-147.46666699980898,FALSE,FALSE
16,EPA ECHO CWA/NPDES facility locations,AKU000086,110015736596,COMMERCIAL PAD (N. HYER ROAD),WASILLA,AK,Matanuska-Susitna,Unknown status,Unpermitted Facility,NON-POTW,NA,NA,NA,NA,0,16.69,23.99,497.98999999999995,N,"Eklutna Native Village - 8 mile(s), Knik Tribe - 16 mile(s)",61.569778000096804,-149.31622199986197,TRUE,FALSE
17,EPA ECHO CWA/NPDES facility locations,AKNOE0063,110071525869,FEDEX EXPRESS-HOMA,HOMER,AK,Kenai Peninsula,Effective,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,24.93,24.279999999999998,289.01,N,"Seldovia Village Tribe - 17 mile(s), Native Village of Port Graham - 24 mile(s), Native Village of Nanwalek (aka English Bay) - 25 mile(s)",59.6439000001479,-151.492999999592,TRUE,FALSE
18,EPA ECHO CWA/NPDES facility locations,AK0001015,110028065108,UNKNOWN,ANCHORAGE,AK,Anchorage Municipality,Terminated,NPDES Individual Permit,NON-POTW,NA,NA,NA,NA,0,35.1,53.43,2765.06,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.225544999865505,-149.889118999709,TRUE,FALSE
19,EPA ECHO CWA/NPDES facility locations,AKNOE0095,110071527095,BUS BARN,WASILLA,AK,Matanuska-Susitna,Admin Continued,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,25.45,23.09,241.58,N,"Knik Tribe - 9 mile(s), Eklutna Native Village - 13 mile(s)",61.5722000000271,-149.658999999726,TRUE,FALSE
20,EPA ECHO CWA/NPDES facility locations,AKR05C989,110044879502,RALPH WIEN MEMORIAL AIRPORT,KOTZEBUE,AK,Northwest Arctic,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,17.12,75.44000000000001,239.6,N,Native Village of Kotzebue - 1 mile(s),66.88976799985609,-162.58894400003504,TRUE,FALSE
21,EPA ECHO CWA/NPDES facility locations,AKR10DT97,110045484506,"SPINELL HOMES, INC.-WESTPARK TRACT 2C",ANCHORAGE,AK,Anchorage Municipality,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,14.77,41.720000000000006,2752.3700000000003,N,Knik Tribe - 24 mile(s),61.1436299999614,-149.99058000011,TRUE,FALSE
22,EPA ECHO CWA/NPDES facility locations,AKG374024,110070152042,STARLING NORTON SOUND LARGE DREDGE,NOME,AK,Nome (CA),Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,11.11,70.21000000000001,1.91,N,"Village of Solomon - 16 mile(s), Nome Eskimo Community - 17 mile(s)",64.44105000009611,-164.870949999971,TRUE,FALSE
23,EPA ECHO CWA/NPDES facility locations,AKG571043,110022967501,HERRING BAY OUTFALL,KETCHIKAN,AK,Prince of Wales-Outer Ketchikan(CA),Admin Continued,General Permit Covered Facility,NON-POTW,0.02,0.0025,NA,NA,0,10.68,28.25,105.16,N,"Metlakatla Indian Community, Annette Island Reserve - 3 mile(s), Organized Village of Saxman - 3 mile(s), Ketchikan Indian Community - 5 mile(s)",55.3271190001821,-131.52602699997902,TRUE,FALSE
24,EPA ECHO CWA/NPDES facility locations,AKU000224,110022967501,HERRING BAY SEWER OUTFALL,KETCHIKAN,AK,Ketchikan Gateway,Unknown status,Unpermitted Facility,NON-POTW,NA,NA,NA,NA,0,10.68,28.25,105.16,N,"Metlakatla Indian Community, Annette Island Reserve - 3 mile(s), Organized Village of Saxman - 3 mile(s), Ketchikan Indian Community - 5 mile(s)",55.3271190001821,-131.52602699997902,TRUE,FALSE
25,EPA ECHO CWA/NPDES facility locations,AK0043362,110056402879,"NAKNEK, CITY OF",NAKNEK,AK,Bristol Bay,Terminated,NPDES Individual Permit,POTW,NA,NA,NA,NA,0,20.69,51.720000000000006,1.81,N,"South Naknek Village - 2 mile(s), Naknek Native Village - 2 mile(s), King Salmon Tribe - 15 mile(s)",58.72459300010011,-157.05076199968,TRUE,FALSE
26,EPA ECHO CWA/NPDES facility locations,AKG573010,110056402879,NAKNEK LAGOON,NAKNEK,AK,Bristol Bay,Effective,General Permit Covered Facility,POTW,NA,NA,NA,NA,1,20.69,51.720000000000006,1.81,N,"South Naknek Village - 2 mile(s), Naknek Native Village - 2 mile(s), King Salmon Tribe - 15 mile(s)",58.72459300010011,-157.05076199968,TRUE,FALSE
27,EPA ECHO CWA/NPDES facility locations,AKG370A13,110064031621,NOME GOLD ALASKA CORPORATION - DRY CREEK,NOME,AK,Unknown county,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,26.939999999999998,76.31,98.16999999999999,N,Nome Eskimo Community - 1 mile(s),64.504700000042,-165.39200000017001,TRUE,FALSE
28,EPA ECHO CWA/NPDES facility locations,AKG331140,110067184718,NABOR OPERATING CENTER FACILITY,DEADHORSE,AK,North Slope,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,8.7,21.74,1.03,NA,NA,70.2039000000618,-148.45299999969603,FALSE,FALSE
