row_id,source_dataset,npdes_id,facility_name,city,state,county,permit_status,permit_type,facility_type,total_design_flow,current_snc_status,current_violation,permit_feature_number,state_water_body_name,tribal_spatial_flag,derived_tribes,latitude,longitude,has_tribal_context,has_current_violation
1,EPA ECHO NPDES outfalls/permitted features,AKG370305,THOMAS DEADWOOD CREEK MINE SITE,CENTRAL,AK,YUKON-KOYUKUK (CA),Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,001,Deadwood Creek,NA,NA,65.5003,-144.866,FALSE,FALSE
2,EPA ECHO NPDES outfalls/permitted features,AKR06AD11,ALASKA GARDEN AND PET SUPPLY INC,ANCHORAGE,AK,ANCHORAGE MUNICIPALITY,Expired,General Permit Covered Facility,Corporation,NA,NA,No,001,Ship Creek,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.2218,-149.85500000000002,TRUE,FALSE
3,EPA ECHO NPDES outfalls/permitted features,AKR06AD11,ALASKA GARDEN AND PET SUPPLY INC,ANCHORAGE,AK,ANCHORAGE MUNICIPALITY,Expired,General Permit Covered Facility,Corporation,NA,NA,No,002,Ship Creek,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.2218,-149.85500000000002,TRUE,FALSE
4,EPA ECHO NPDES outfalls/permitted features,AKR06H00W,SHAKMANOF COVE QUARRY,OUZINKIE,AK,KODIAK ISLAND,Expired,General Permit Covered Facility,Corporation,NA,Failure to Report DMR - Not Received,Yes,001,Shakmanof Cove,N,"Native Village of Ouzinkie - 5 mile(s), Native Village of Afognak - 10 mile(s), Native Village of Port Lions - 11 mile(s), Sun'aq Tribe of Kodiak - 12 mile(s), Tangirnaq Native Village - 15 mile(s)",57.9125479,-152.604976,TRUE,TRUE
5,EPA ECHO NPDES outfalls/permitted features,AKG571047,GENA ROAD COLLECTOR SEWER/OUTFALL,KETCHIKAN GATEWAY BOROUGH,AK,KETCHIKAN GATEWAY,Admin Continued,General Permit Covered Facility,Privately Owned Facility,0.008,Effluent - Monthly Average Limit,Yes,001,Tongass Narrows,N,"Ketchikan Indian Community - 9 mile(s), Organized Village of Saxman - 11 mile(s), Metlakatla Indian Community, Annette Island Reserve - 13 mile(s), Organized Village of Kasaan - 17 mile(s)",55.4278,-131.789,TRUE,TRUE
6,EPA ECHO NPDES outfalls/permitted features,AKG572014,DENALI RIVER CABINS WWTF,DENALI,AK,DENALI,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,001,Nenana River,N,Native Village of Cantwell - 19 mile(s),63.6563,-148.833,TRUE,TRUE
7,EPA ECHO NPDES outfalls/permitted features,AKR06GB56,HOMER SOLID WASTE FACILITY,HOMER,AK,KENAI PENINSULA,Expired,General Permit Covered Facility,County Government,NA,Failure to Report DMR - Not Received,Yes,002,Unnamed Streams,N,"Seldovia Village Tribe - 16 mile(s), Native Village of Port Graham - 23 mile(s), Native Village of Nanwalek (aka English Bay) - 24 mile(s)",59.6632,-151.635,TRUE,TRUE
8,EPA ECHO NPDES outfalls/permitted features,AKR06GB56,HOMER SOLID WASTE FACILITY,HOMER,AK,KENAI PENINSULA,Expired,General Permit Covered Facility,County Government,NA,Failure to Report DMR - Not Received,Yes,003,Unamed wetlands,N,"Seldovia Village Tribe - 16 mile(s), Native Village of Port Graham - 23 mile(s), Native Village of Nanwalek (aka English Bay) - 24 mile(s)",59.6587,-151.64,TRUE,TRUE
9,EPA ECHO NPDES outfalls/permitted features,AKR06GB56,HOMER SOLID WASTE FACILITY,HOMER,AK,KENAI PENINSULA,Expired,General Permit Covered Facility,County Government,NA,Failure to Report DMR - Not Received,Yes,001,Unnamed Streams,N,"Seldovia Village Tribe - 16 mile(s), Native Village of Port Graham - 23 mile(s), Native Village of Nanwalek (aka English Bay) - 24 mile(s)",59.6618,-151.64299999999997,TRUE,TRUE
10,EPA ECHO NPDES outfalls/permitted features,AKG572056,LITTLE DIOMEDE SCHOOL WWTF,DIOMEDE,AK,NOME,Effective,General Permit Covered Facility,School District,NA,Failure to Report DMR - Not Received,Yes,001,NA,N,Native Village of Diomede (aka Inalik) - 2 mile(s),65.7589,-168.95200000000003,TRUE,TRUE
11,EPA ECHO NPDES outfalls/permitted features,AKG371640,JAHRAUS NORTON SOUND SUCTION DREDGE,NOME,AK,NOME (CA),Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,Yes,001,Norton Sound,N,Nome Eskimo Community - 2 mile(s),64.4867,-165.395,TRUE,TRUE
12,EPA ECHO NPDES outfalls/permitted features,AKG371411,DRY CREEK VALLEY NORTON SOUND MEDIUM SUCTION DREDGE,NOME,AK,NOME (CA),Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,Yes,001,Norton Sound,N,"Nome Eskimo Community - 7 mile(s), Village of Solomon - 24 mile(s)",64.466042,-165.20608289999998,TRUE,TRUE
13,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,002,Resurrection Bay,NA,NA,60.121949,-149.43426,FALSE,TRUE
14,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,005,Resurrection Bay,NA,NA,60.088691,-149.349537,FALSE,TRUE
15,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,007,Resurrection Bay,NA,NA,60.124812000000006,-149.43476399999997,FALSE,TRUE
16,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,003,Resurrection Bay,NA,NA,60.12297200000001,-149.433278,FALSE,TRUE
17,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,008,Resurrection Bay,NA,NA,60.12237500000001,-149.434168,FALSE,TRUE
18,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,001,Resurrection Bay,NA,NA,60.122083,-149.433333,FALSE,TRUE
19,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,006,Resurrection Bay,NA,NA,60.0886809,-149.35044390000004,FALSE,TRUE
20,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,004,Resurrection Bay,NA,NA,60.123025000000005,-149.43474,FALSE,TRUE
21,EPA ECHO NPDES outfalls/permitted features,AKR06GB52,ALASKA AIRLINES DILLINGHAM STATION,DILLINGHAM,AK,DILLINGHAM (CA),Expired,General Permit Covered Facility,Corporation,NA,NA,No,001,Nushagak River,N,"Curyung Tribal Council - 2 mile(s), Village of Clarks Point - 14 mile(s), Native Village of Aleknagik - 17 mile(s), Native Village of Ekuk - 17 mile(s), Manokotak Village - 21 mile(s)",59.0456,-158.511,TRUE,FALSE
22,EPA ECHO NPDES outfalls/permitted features,AKR06AD24,ALASKA GENERAL SEAFOODS -NAKNEK DIVISION MILE 1.5,NAKNEK,AK,BRISTOL BAY,Expired,General Permit Covered Facility,Corporation,NA,NA,Yes,001,Naknek River,N,"Naknek Native Village - 1 mile(s), South Naknek Village - 2 mile(s), King Salmon Tribe - 13 mile(s)",58.731666999999995,-156.99363,TRUE,TRUE
23,EPA ECHO NPDES outfalls/permitted features,AKR06H02F,"PACIFIC SEAFOOD - KODIAK, LLC - SOK",KODIAK,AK,KODIAK ISLAND,Expired,General Permit Covered Facility,Corporation,NA,NA,No,004,NEAR ISLAND CHANNEL,N,"Sun'aq Tribe of Kodiak - 1 mile(s), Tangirnaq Native Village - 9 mile(s), Native Village of Ouzinkie - 11 mile(s), Native Village of Port Lions - 19 mile(s), Native Village of Afognak - 21 mile(s)",57.786053,-152.406599,TRUE,FALSE
