row_id,source_dataset,pws_id,system_name,facility_id,source_type_code,source_type,federal_type_code,federal_type,activity_status,population_served,comment,longitude,latitude
1,ADEC SDWIS active PWS source locations,AK2111470   ,ELFIN COVE,29530,WL,Well,NC  ,NC  ,NA,320,NA,-136.34443061823703,58.196873919448905
2,ADEC SDWIS active PWS source locations,AK2130596   ,GUSTAVUS WATER SYSTEM,29535,WL,Well,NTNC,Non-transient non-community,NA,117,NA,-135.708873681619,58.4180850120849
3,ADEC SDWIS active PWS source locations,AK2111275   ,DALTON CACHE (HAINES) BORDER STATION,29557,WL,Well,NC  ,NC  ,NA,124,NA,-136.36198134009504,59.450323888738296
4,ADEC SDWIS active PWS source locations,AK2110106   ,ECHO RANCH BIBLE CAMP - JUNEAU AK,29566,WL,Well,NC  ,NC  ,NA,160,NA,-134.940020752516,58.67868412497501
5,ADEC SDWIS active PWS source locations,AK2110342   ,CITY AND BOROUGH OF JUNEAU,29570,WL,Well,C   ,C   ,NA,38526,NA,-134.396970489976,58.3072782141061
6,ADEC SDWIS active PWS source locations,AK2110110   ,TAKU GLACIER LODGE,29571,WL,Well,NC  ,NC  ,NA,110,NA,-133.94073054374797,58.49219228073931
7,ADEC SDWIS active PWS source locations,AK2130164   ,GLACIER BEAR LODGE,29579,WL,Well,NC  ,NC  ,NA,56,NA,-139.700321657712,59.53748336184079
8,ADEC SDWIS active PWS source locations,AK2130172   ,YAKUTAT PWS,29587,WL,Well,C   ,C   ,NA,740,NA,-139.73381166370095,59.5436233563499
9,ADEC SDWIS active PWS source locations,AK2110318   ,CHURCHILL PARK,29592,WL,Well,C   ,C   ,NA,250,NA,-134.49184553314797,58.367862198721
10,ADEC SDWIS active PWS source locations,AK2111476   ,GUSTAVUS AIRPORT,29593,WL,Well,NC  ,NC  ,NA,56,NA,-135.703370682619,58.4208240128732
11,ADEC SDWIS active PWS source locations,AK2110601   ,SKAGWAY,29597,WL,Well,C   ,C   ,NA,9411,NA,-135.30952124709,59.4631440526897
12,ADEC SDWIS active PWS source locations,AK2110106   ,ECHO RANCH BIBLE CAMP - JUNEAU AK,29604,WL,Well,NC  ,NC  ,NA,160,NA,-134.940690752363,58.67829412487921
13,ADEC SDWIS active PWS source locations,AK2110601   ,SKAGWAY,29608,WL,Well,C   ,C   ,NA,9411,NA,-135.307951246477,59.4623840529501
14,ADEC SDWIS active PWS source locations,AK2110106   ,ECHO RANCH BIBLE CAMP - JUNEAU AK,29610,WL,Well,NC  ,NC  ,NA,160,NA,-134.942290752468,58.6781941246356
15,ADEC SDWIS active PWS source locations,AK2110601   ,SKAGWAY,29619,WL,Well,C   ,C   ,NA,9411,NA,-135.30873124678303,59.4627640528207
16,ADEC SDWIS active PWS source locations,AK2120779   ,GLACIER INN,29621,WL,Well,NC  ,NC  ,NA,39,NA,-130.019326783884,55.91100387320789
17,ADEC SDWIS active PWS source locations,AK2130172   ,YAKUTAT PWS,29625,WL,Well,C   ,C   ,NA,740,NA,-139.73432166388196,59.54386335626139
18,ADEC SDWIS active PWS source locations,AK2111465   ,GOLD RUSH TRAIL CAMP,29626,WL,Well,NC  ,NC  ,NA,256,NA,-135.27346125984295,59.49030405774709
19,ADEC SDWIS active PWS source locations,AK2111513   ,DOC WARNERS FISH CAMP,29637,IN,Intake,NC  ,NC  ,NA,90,NA,-135.423480633543,58.38069405642899
20,ADEC SDWIS active PWS source locations,AK2121131   ,SALMON FALLS RESORT,29665,IN,Intake,NC  ,NC  ,NA,100,NA,-131.75468881142302,55.4925246260101
21,ADEC SDWIS active PWS source locations,AK2120591   ,THE LODGE AT YES BAY,29672,IN,Intake,NC  ,NC  ,NA,50,NA,-131.79886900761903,55.919239619090995
22,ADEC SDWIS active PWS source locations,AK2110643   ,EAGLECREST SKI AREA,29675,IN,Intake,NC  ,NC  ,NA,771,NA,-134.517125484314,58.274235196360706
23,ADEC SDWIS active PWS source locations,AK2120436   ,COFFMAN COVE,29684,IN,Intake,C   ,C   ,NA,199,NA,-132.82513916252802,56.00168447119728
24,ADEC SDWIS active PWS source locations,AK2121467   ,EL CAPITAN LODGE,29706,IN,Intake,NC  ,NC  ,NA,38,NA,-133.26100218997598,55.95770440857239
25,ADEC SDWIS active PWS source locations,AK2130148   ,PETERSBURG,29721,IN,Intake,C   ,C   ,NA,3218,NA,-132.91389954350097,56.78632445320499
26,ADEC SDWIS active PWS source locations,AK2130156   ,PORT ALEXANDER PWS,29737,IN,Intake,C   ,C   ,NA,95,NA,-134.66498946856998,56.2454442021504
27,ADEC SDWIS active PWS source locations,AK2120567   ,WATERFALL RESORT,29759,IN,Intake,NC  ,NC  ,NA,168,NA,-133.22453189340197,55.30420741758779
28,ADEC SDWIS active PWS source locations,AK2111523   ,SHRINE OF ST. THERESE,29769,IN,Intake,NC  ,NC  ,NA,78,NA,-134.782995619406,58.469695152655
29,ADEC SDWIS active PWS source locations,AK2133333   ,WHALERS COVE LODGE,29790,IN,Intake,NC  ,NC  ,NA,65,NA,-134.570140061792,57.4687342004132
30,ADEC SDWIS active PWS source locations,AK2120193   ,CRAIG PUBLIC WORKS,29829,IN,Intake,C   ,C   ,NA,1475,NA,-132.915985930323,55.464084460793984
31,ADEC SDWIS active PWS source locations,AK2119205   ,HECLA GREENS CREEK 920 LEVEL,29856,IN,Intake,NTNC,Non-transient non-community,NA,175,NA,-134.632156392058,58.0828591819202
32,ADEC SDWIS active PWS source locations,AK2130075   ,SITKA,29916,IN,Intake,C   ,C   ,NA,9448,NA,-135.200069917838,57.0630941123721
33,ADEC SDWIS active PWS source locations,AK2130198   ,BARTLETT COVE WATER SYS,29954,IN,Intake,NTNC,Non-transient non-community,NA,123,NA,-135.87593071674098,58.452913985818704
34,ADEC SDWIS active PWS source locations,AK2120232   ,KETCHIKAN PUBLIC UTILITIES,30037,IN,Intake,C   ,C   ,NA,8937,NA,-131.62096873359798,55.35078364503269
35,ADEC SDWIS active PWS source locations,AK2110855   ,HAINES FERRY TERMINAL,30076,IN,Intake,NC  ,NC  ,NA,104,NA,-135.47674615355902,59.27889203049571
36,ADEC SDWIS active PWS source locations,AK2120606   ,KASAAN,30107,IN,Intake,C   ,C   ,NA,66,NA,-132.39806390842702,55.544574534353494
37,ADEC SDWIS active PWS source locations,AK2121463   ,SILVERKING LODGE,30116,IN,Intake,NC  ,NC  ,NA,46,NA,-131.720741830212,55.54410463079039
38,ADEC SDWIS active PWS source locations,AK2110342   ,CITY AND BOROUGH OF JUNEAU,30134,IN,Intake,C   ,C   ,NA,38526,NA,-134.403822509686,58.341855212526
39,ADEC SDWIS active PWS source locations,AK2120224   ,HYDABURG,30137,IN,Intake,C   ,C   ,NA,415,NA,-132.80747881344703,55.224294477164996
40,ADEC SDWIS active PWS source locations,AK2130122   ,PELICAN UTILITIES,30151,IN,Intake,C   ,C   ,NA,230,NA,-136.21529647711,57.958172944014606
41,ADEC SDWIS active PWS source locations,AK2120020   ,CLOVER PASS RESORT,30196,IN,Intake,NC  ,NC  ,NA,133,NA,-131.814607809738,55.4727946175179
42,ADEC SDWIS active PWS source locations,AK2130148   ,PETERSBURG,30213,IN,Intake,C   ,C   ,NA,3218,NA,-132.827419521167,56.7603044660762
43,ADEC SDWIS active PWS source locations,AK2121034   ,CLOVER BAY LODGE,30243,IN,Intake,NC  ,NC  ,NA,59,NA,-132.15507777487997,55.30341956944109
44,ADEC SDWIS active PWS source locations,AK2120169   ,KLAWOCK,30265,IN,Intake,C   ,C   ,NA,904,NA,-133.02144398212204,55.55499244531289
45,ADEC SDWIS active PWS source locations,AK2120216   ,"THORNE BAY, CITY OF",30296,IN,Intake,C   ,C   ,NA,470,NA,-132.51281898743406,55.69273451746991
46,ADEC SDWIS active PWS source locations,AK2130017   ,ANGOON PUBLIC WATER,30309,IN,Intake,C   ,C   ,NA,450,NA,-134.522053051688,57.458591207749194
47,ADEC SDWIS active PWS source locations,AK2120143   ,WRANGELL,30325,IN,Intake,C   ,C   ,NA,2300,NA,-132.370041322918,56.455362534713196
48,ADEC SDWIS active PWS source locations,AK2121093   ,SPORTSMANS COVE LODGE,30384,IN,Intake,NC  ,NC  ,NA,55,NA,-132.33094883689003,55.399594544294594
49,ADEC SDWIS active PWS source locations,AK2120127   ,SAXMAN,30392,IN,Intake,C   ,C   ,NA,450,NA,-131.595398718711,55.323514648649805
50,ADEC SDWIS active PWS source locations,AK2121474   ,GEORGE INLET LODGE,30401,IN,Intake,NC  ,NC  ,NA,49,NA,-131.47598472365195,55.367295665549996
